ds,sls
19-Aug-2017,5099633.55
20-Aug-2017,3983196.54
21-Aug-2017,3526294.85
22-Aug-2017,3993569.30
23-Aug-2017,4907240.88
24-Aug-2017,4862362.05
25-Aug-2017,5628973.60
26-Aug-2017,5825058.29
27-Aug-2017,4624826.42
28-Aug-2017,3772553.87
